cluster_name,z_lens,z_source,M_500_Msun,R_500_kpc,theta_E_obs_arcsec,theta_E_err_arcsec,fgas_R500,TX_central_keV,dynamical_state,n_images,tier,reference,notes
MACS0416,0.396,2.0,1.15e15,1200,30.0,1.5,0.110,10.5,relaxed,194,1,Jauzac+2015;HFF_consensus,Training case - interior chord validation
A1689,0.183,2.0,1.54e15,1420,47.0,3.0,0.115,9.1,relaxed,135,1,Broadhurst+2005;Lemze+2013,Classic strong lens benchmark - low z test
MACS0717,0.545,2.5,2.83e15,1800,55.0,3.0,0.108,11.2,merging,150,2,Medezinski+2013;HFF_consensus,Largest lensing cluster - complex merger
A2744,0.308,2.0,1.55e15,1430,26.0,2.0,0.112,7.6,merging,100,1,Merten+2011;HFF_consensus,Complex triple merger - Pandora cluster
RXJ1347,0.451,2.0,1.82e15,1500,32.0,2.0,0.106,14.5,relaxed,50,2,Hoshino+2010;Bradac+2008,Brightest X-ray cluster - hot core
A370,0.375,2.0,1.34e15,1300,38.0,2.0,0.113,8.9,merging,114,1,Richard+2010;HFF_consensus,Binary merger - two main components
CL0024,0.395,1.67,1.21e15,1180,24.0,2.5,0.109,6.8,relaxed,67,2,Zitrin+2009;Kneib+2003,Ring-like structure - radial arc test
MACS1149,0.544,2.0,1.73e15,1520,42.0,2.0,0.111,10.1,relaxed,100,2,Williams+2017;HFF,Frontier Fields - Williams model
A383,0.188,2.5,0.87e15,1050,18.0,1.5,0.116,4.3,relaxed,45,3,Smith+2005;Newman+2011,Lower mass - edge of strong lensing regime
RXJ2129,0.235,1.5,0.69e15,920,12.0,1.8,0.118,3.8,relaxed,28,3,Dahle+2013,Low mass benchmark
MACS0329,0.450,2.0,1.48e15,1380,28.0,2.5,0.107,9.7,merging,78,3,Zitrin+2013,Disturbed X-ray morphology
A611,0.288,1.8,0.94e15,1090,14.0,2.0,0.114,5.1,relaxed,38,3,Newman+2013,Intermediate mass - testing lower bound
